Filename,Dataset,Shape,Spacing,Shape_OK,Affine_OK,Binary_OK,Positive_Voxels
BHSD_0001.nii.gz,BHSD,"(512, 512, 28)","(0.488281, 0.488281, 5.288)",True,True,False,20288
BHSD_0002.nii.gz,BHSD,"(512, 512, 28)","(0.488281, 0.488281, 5.3926735)",True,True,False,142354
BHSD_0003.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.3926735)",True,True,False,216840
BHSD_0004.nii.gz,BHSD,"(512, 512, 31)","(0.48828125, 0.48828125, 5.0)",True,True,False,72559
BHSD_0005.nii.gz,BHSD,"(512, 512, 32)","(0.390625, 0.390625, 5.0)",True,True,False,59835
BHSD_0006.nii.gz,BHSD,"(512, 512, 36)","(0.488281, 0.488281, 5.0270023)",True,True,False,26493
BHSD_0007.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.3926735)",True,True,False,608138
BHSD_0008.nii.gz,BHSD,"(512, 512, 30)","(0.48828125, 0.48828125, 5.4731445)",True,True,False,14636
BHSD_0009.nii.gz,BHSD,"(512, 512, 40)","(0.488281, 0.488281, 2.500002)",True,False,False,1487
BHSD_0010.nii.gz,BHSD,"(512, 512, 28)","(0.48828125, 0.48828125, 6.0)",True,True,False,106223
BHSD_0011.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.2284584)",True,True,True,2147
BHSD_0012.nii.gz,BHSD,"(512, 512, 35)","(0.42773438, 0.42773438, 5.0)",True,True,False,15922
BHSD_0013.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.243)",True,True,False,66988
BHSD_0014.nii.gz,BHSD,"(512, 512, 28)","(0.488281, 0.488281, 5.0623245)",True,True,False,1328
BHSD_0015.nii.gz,BHSD,"(512, 512, 32)","(0.48828125, 0.48828125, 5.4522095)",True,True,False,212848
BHSD_0016.nii.gz,BHSD,"(512, 512, 36)","(0.48828125, 0.48828125, 5.0)",True,True,False,14985
BHSD_0017.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.243)",True,True,False,38190
BHSD_0018.nii.gz,BHSD,"(512, 512, 32)","(0.488281, 0.488281, 5.1760006)",True,True,False,65507
BHSD_0019.nii.gz,BHSD,"(512, 512, 28)","(0.488281, 0.488281, 5.02)",True,True,False,64236
BHSD_0020.nii.gz,BHSD,"(512, 512, 34)","(0.488281, 0.488281, 5.0)",True,True,False,81601
