Filename,Dataset,Shape_X,Shape_Y,Shape_Z,Spacing_X,Spacing_Y,Spacing_Z,Voxel_Count,Positive_Voxels,Positive_Ratio,HU_Min,HU_Max,HU_Mean,HU_STD,Mask_Labels,Affine_Determinant,Empty_Mask
BHSD_0001.nii.gz,BHSD,512,512,28,0.488281,0.488281,5.288,7340032,8774,0.0011953626360212053,-2048.0,3071.000014066696,-789.9672308828016,885.8140131745432,"0,1",-1.2607562182445764,False
BHSD_0002.nii.gz,BHSD,512,512,28,0.488281,0.488281,5.3926735,7340032,32042,0.0043653760637555805,-3024.000030517578,2189.0000140443444,-1078.2001421966631,1132.8705103598281,"0,1",-1.2857121906306972,False
BHSD_0003.nii.gz,BHSD,512,512,32,0.488281,0.488281,5.3926735,8388608,82049,0.00978100299835205,-3024.0001220703125,3072.0001206472516,-1226.225276518358,1308.259073246111,"0,1",-1.2857121906306972,False
BHSD_0004.nii.gz,BHSD,512,512,31,0.48828125,0.48828125,5.0,8126464,35069,0.004315407045425907,-1023.9999694824219,1729.99999935925,-607.2912334453163,543.9670961480349,"0,1",-1.1920928955078125,False
BHSD_0005.nii.gz,BHSD,512,512,32,0.390625,0.390625,5.0,8388608,28046,0.003343343734741211,-1024.0,2336.9999839589,-402.3985168643428,571.1835924555088,"0,1",-0.7629394531249999,False
BHSD_0006.nii.gz,BHSD,512,512,36,0.488281,0.488281,5.0270023,9437184,10277,0.0010889901055230035,-2048.0,3071.000014066696,-927.4441509727808,862.9773121873712,"0,1",-1.1985297045173102,False
BHSD_0007.nii.gz,BHSD,512,512,32,0.488281,0.488281,5.3926735,8388608,126121,0.015034794807434082,-3023.9999389648438,2518.9999529346824,-1095.9406492347982,1222.7376374032108,"0,1",-1.2857121906306972,False
BHSD_0008.nii.gz,BHSD,512,512,30,0.48828125,0.48828125,5.4731445,7864320,7318,0.0009305318196614583,-1023.9999389648438,1957.9999687895179,-569.464979981341,602.9499888543473,"0,1",-1.3048992320331376,False
BHSD_0009.nii.gz,BHSD,512,512,40,0.488281,0.488281,2.500002,10485760,629,5.9986114501953124e-05,-3023.999885559082,3070.9998841434717,-1080.180043819327,1143.49123764163,"0,1",-0.5960462838856418,False
BHSD_0010.nii.gz,BHSD,512,512,28,0.48828125,0.48828125,6.0,7340032,23789,0.0032409940447126117,-1000.0000305175781,1875.000045105815,-652.228625357456,530.7648651679256,"0,1",-1.4305114636499023,False
BHSD_0011.nii.gz,BHSD,512,512,32,0.488281,0.488281,5.2284584,8388608,2147,0.00025594234466552734,-3024.0000610351562,2214.000090330839,-1003.0519247505559,1191.8388737702387,"0,1",-1.246560283076414,False
BHSD_0012.nii.gz,BHSD,512,512,35,0.42773438,0.42773438,5.0,9175040,4940,0.0005384172712053571,-1023.9999389648438,2886.999953314662,-540.1208877835778,568.163394157491,"0,1",-0.914783477783203,False
BHSD_0013.nii.gz,BHSD,512,512,32,0.488281,0.488281,5.243,8388608,17279,0.0020598173141479492,-2048.0,3071.000014066696,-840.5466740126508,905.9713813846637,"0,1",-1.250027362421235,False
BHSD_0014.nii.gz,BHSD,512,512,28,0.488281,0.488281,5.0623245,7340032,664,9.046282087053572e-05,-3023.999885559082,3070.9998841434717,-1041.5341590449336,1181.3730800248954,"0,1",-1.2069511925335543,False
BHSD_0015.nii.gz,BHSD,512,512,32,0.48828125,0.48828125,5.4522095,8388608,92736,0.01105499267578125,-1024.0,1919.0000145733356,-584.9061177972061,563.6421098245341,"0,1",-1.2999081199570226,False
BHSD_0016.nii.gz,BHSD,512,512,36,0.48828125,0.48828125,5.0,9437184,3772,0.00039969550238715275,-1023.9999389648438,2628.9999838918447,-617.0381814426476,509.8448504035285,"0,1",-1.1920928955078125,False
